text,label,translated
That's fine . What salary do you get at your present position ?,9,괜찮아요. 당신은 현재 직위에서 얼마의 봉급을 받습니까?
Really ? How did it go ?,9,정말? 그건 어떻게 됐는데?
Whoa .,9,우와.
Excuse me . Can I ask you a question ?,9,실례합니다. 질문 하나 해도 될까요?
"Hold it , Mike . You won't accomplish anything by hollering at him , right ? You worked it all up till now . Why not wait until you cool down a bit ?",9,"잠깐만, 마이크. 그를 호통쳐서는 아무것도 이룰 수 없을 거야, 그렇지? 지금까지 네가 다 꾸며낸 거야. 좀 진정될 때까지 기다리는 게 어때요?"
"It is not only the earthquake , sir . But the mudslides.Much of the north half of the site has been covered over by mud .",9,지진 뿐만 아니라 진흙도 빠져요.그 장소의 북쪽 절반은 진흙으로 덮여 있다.
"Excuse me , I'd like to send this parcel .",9,"실례합니다, 이 소포를 보내고 싶은데요."
"OK , I see . Here you are . Is that OK now ?",9,"네, 알겠습니다. 여기 있습니다. 이제 괜찮아요?"
"Yes , it is . But you have to be careful .",9,"네, 그렇습니다. 하지만 조심하셔야 합니다."
Then who were they ?,9,그럼 그들은 누구였을까?
I saw an interesting program on TV last night . It was about elderly people .,9,나는 어젯밤 TV에서 재미있는 프로그램을 보았다. 그것은 노인들에 관한 것이었다.
You messed up my car .,9,당신이 내 차를 망쳤어요.
I'm very sorry . I didn't realize it . I promise I'll keep it down in the future .,9,정말 죄송합니다. 몰랐어요. 앞으로도 잘 안 할 거예요.
We had extra time of course .,9,물론 우리는 여분의 시간이 있었다.
"Then , how about this ?",9,"그럼, 이것은 어때요?"
I would like to have it done this Friday .,9,나는 그것을 이번 주 금요일에 하고 싶다.
But most bosses are fools for woman .,9,하지만 대부분의 상사들은 여자들에게는 바보들이다.
So what happened next ?,9,다음엔 어떻게 됐어요?
"This man is your fiance , Dolly ?",9,이 남자가 당신의 약혼자 돌리인가요?
"Oh , did you ? That's very easy to do .",9,"오, 그랬어? 그것은 매우 쉽다."
That ’ s interesting .,9,흥미롭군요.
I envy her and also I hate her at the same time .,9,나는 그녀가 부럽기도 하고 싫기도 하다.
"Please put your baggage on the counter and open it , let me have a look .",9,"카운터에 짐을 올려놓고 열어주세요, 제가 볼게요."
What's your passport No . ?,9,당신의 여권 번호는 무엇입니까?
"Yes , they can . If you remember correctly , people used to believe that the world was flat .",9,"네, 할 수 있어요. 만약 당신이 정확히 기억한다면, 사람들은 세상이 평평하다고 믿곤 했다."
Who's that tall guy over there ?,9,저기 있는 저 키 큰 남자는 누구야?
All right sir . How many nights will you be staying ?,9,알겠습니다. 며칠 밤을 묵으실 건가요?
Just take it to a booth and begin voting .,9,그냥 부스에 가져가서 투표를 시작하세요.
"Yes , I've been given so much , that I simply don't know what to do with it all .",9,"네, 너무 많이 받아서 어떻게 해야 할지 모르겠어요."
Shame on you !,9,부끄러운 줄 알아!
I did . Did you ?,9,내가 그랬어?
That is exactly what we're looking for .,9,그것이 바로 우리가 찾고 있는 것이다.
I am an engineer in a mechanized farm .,9,나는 기계화 농장의 엔지니어이다.
"Sometimes they do , sometimes they don't . It's best to find someone who is selling by themselves .",9,그럴 때도 있고 아닐 때도 있어요. 스스로 판매하는 사람을 찾는 것이 가장 좋습니다.
You understand a timely delivery is very important to us .,9,당신은 적시에 배달하는 것이 우리에게 매우 중요하다는 것을 알고 있습니다.
"Yes , follow me . Here it is .",9,"네, 따라오세요. 여기 있어요."
Any other rules to observe in order to keep modest ?,9,겸손함을 유지하기 위해 지켜야 할 다른 규칙이 있나요?
"See you later , goodbye .",9,"나중에 봐요, 안녕."
All right I'll read it soon .,9,"좋아요, 곧 읽어볼게요."
"Yes , we are almost ready to order .",9,"네, 주문할 준비가 거의 다 되었습니다."
Okay . Are you sure there isn't anything else ?,9,알겠습니다. 다른 건 없는 게 확실한가요?
Does it hurt ?,9,아픕니까?
How often does the bus run ?,9,그 버스는 얼마나 자주 옵니까?
"Yes , let me have a medium Pepsi .",9,"네, 미디움 펩시로 주세요."
dying can be very expensive nowadays ! What ’ s he going to do with it ?,9,요즘에는 죽는 것이 매우 비쌀 수 있다! 그녀는 그것으로 무엇을 할 것인가?
Tomorrow afternoon would be fine .,9,내일 오후가 좋겠어요.
Does this title come with an increase in salary ?,9,이 직함은 봉급 인상과 함께 나오나요?
You're going to need to complete six hours .,9,당신은 6시간을 완료해야 할 것입니다.
"Oh , no , I'm afraid not . These things are just too old to guarantee anything .",9,"오, 아니요, 유감스럽게도 아닙니다. 이 물건들은 너무 낡아서 아무것도 보장할 수 없다."
"If China didn't have such a policy , can you imagine how many people there would be in China now ?",9,"만약 중국이 그러한 정책을 가지고 있지 않았다면, 여러분은 지금 중국에 얼마나 많은 사람들이 있을지 상상할 수 있나요?"
"No , thank you . Taxis and I get along just fine .",9,"아뇨, 감사합니다. 택시와 저는 잘 지내고 있어요."
"Fine , thanks . How's your boy , Jack ?",9,"좋아, 고마워. 네 아들은 어때, 잭?"
"Most voters what everything bout ways . They want the government to pay for lots of things , but without increasing taxes .",9,대부분의 유권자들은 방법에 대해 모든 것을 한다. 그들은 정부가 세금을 올리지 않고 많은 것을 지불하기를 원한다.
how are you doing ?,9,어떻게 지내세요?
"yes , I was just wondering how you and your roommate were planning on coming to my place .",9,"응, 나는 단지 너와 너의 룸메이트가 어떻게 우리 집에 올 계획인지 궁금했어."
I don't know what to do about it .,9,나는 그것에 대해 어떻게 해야 할지 모르겠다.
"Excuse me , what's the price of a single room ?",9,"실례합니다, 싱글룸 가격이 어떻게 되나요?"
I am in Nanjing University . I am a junior .,9,나는 난징 대학에 있어. 나는 3학년이야.
The ship is going very fast .,9,배는 매우 빠르게 달리고 있다.
"Yes , it was just when I was walking in the park . I saw some children with a newspaper .",9,"응, 내가 공원을 걷고 있을 때였어. 나는 신문을 들고 있는 몇몇 아이들을 봤어."
That's splendid . Can you take three pictures of me with them ?,9,멋지네요. 사진 3장 같이 찍어주실 수 있나요?
That ’ s it ?,9,그게 다야?
Are you interested in science ? I can't believe it .,9,당신은 과학에 관심이 있나요? 정말 믿을 수 없다.
Are you available for travel ?,9,여행 가능한가요?
"Could I take a look at it , please ? Let me just check these details ... right .",9,제가 그것을 좀 봐도 될까요? 이 세부 사항들을 확인해 보겠습니다... 맞다.
I am wiped out . Thank you .,9,나는 지쳤다. 감사해요.
Then does that mean the other churches are corrupt ?,9,그럼 다른 교회들이 부패했다는 뜻인가요?
"Really ? I'll also try to speak slowly . How would you arrange the guests ' seats , Jane ?",9,"정말? 나도 천천히 말하도록 노력할게. 제인, 손님 자리를 어떻게 마련하겠어요?"
The next cockroach I see will be number ten .,9,내가 다음으로 보는 바퀴벌레는 10번이 될 것이다.
"You know , about David and his new boss .",9,데이빗과 그의 새로운 상사에 대해서요.
"No , I haven't had a chance to take the exam as I have just arrived here .",9,"아니요, 방금 와서 시험을 못 봤어요."
That's a good place to go at this time . How about this route ?,9,그 곳은 이 시간에 가기에 좋은 장소이다. 이 길은 어떻습니까?
"That's too bad , but I sincerely hope you will give our request your special consideration .",9,"안타깝지만, 저희의 요청을 특별히 고려해 주시기 바랍니다."
"They're serviced regularly . We give them a basic service every 10,000 km or so and a main service once a year , or every 100,000 km .",9,"그들은 정기적으로 서비스를 받는다. 우리는 그들에게 10,000km 정도마다 기본 서비스를 제공하고 1년에 한 번 또는 10만km마다 주요 서비스를 제공합니다."
"Ah , where can I find old paper money and coins used before and after 1949 ?",9,"아, 1949년 이전과 이후에 사용된 오래된 지폐와 동전은 어디에서 찾을 수 있을까요?"
Please inform us of your decision as soon as possible .,9,당신의 결정을 가능한 한 빨리 우리에게 알려주세요.
Where will it be ?,9,어디에 있을까요?
Why are you walking to and fro in the room ?,9,당신은 왜 방 안을 왔다갔다 합니까?
"Oh , that's good ! He sounds like a good teacher .",9,"오, 좋아! 그는 좋은 선생님인 것 같아."
"OK , Sir . Would that be Fixed or Current Deposit ?",9,"알겠습니다. 정기예금으로 하시겠습니까, 당좌예금으로 하시겠습니까?"
Does it taste good ?,9,그거 맛있나요?
I'm going to need a taxi .,9,택시가 필요해요.
"Oh , how I wish this all wasn't happening !",9,"오, 이 모든 일이 일어나지 않았으면 얼마나 좋을까!"
"Hmm ... I sometimes like mysteries , but I don't think I'm in the mood for one right now .",9,"흠... 나는 가끔 미스터리를 좋아하지만, 지금은 미스터리를 할 기분이 아닌 것 같아."
My name is Mona White .,9,내 이름은 모나 화이트야.
Yes ! Isn't that exciting ?,9,네! 신나지 않나요?
I wonder who that man is .,9,저 남자가 누군지 궁금하다.
Maybe Olga can introduce you to some of her friends who can write to you in German and you can do the same for her with your friends to write her in English .,9,아마도 Olga가 당신에게 독일어로 편지를 쓸 수 있는 그녀의 친구들에게 당신을 소개해줄 수 있을 것이고 당신은 그녀에게 영어로 편지를 쓸 수 있도록 당신의 친구들과 똑같이 할 수 있을 것이다.
Anything interesting on ?,9,뭐 재미있는 거 있어요?
"Waiter , can you come here for a moment ?",9,"웨이터, 잠깐만 여기로 와주시겠어요?"
"What time , sir ?",9,"몇 시입니까, 선생님?"
"Don't rush , behave yourself please ! Let the people get off first .",9,서두르지 말고 얌전히 굴어라! 사람들 먼저 내리도록 해라.
I like that one over there . Can you show it to me ?,9,저기 있는 게 마음에 들어요. 보여주실 수 있나요?
I think so . It's turning out to be a great day .,9,그런 것 같아요. 정말 좋은 날이네요.
"Yes . I hope you can help . I'm interested in obtaining a Working Capital Loan . So , I was wondering what you offer here ? Do you have various types ?",9,"네. 도와주셨으면 좋겠어요. 운전자금 대출을 받고 싶은데요. 그래서, 여기서 어떤 걸 해주실 수 있나요? 다양한 종류가 있나요?"
how often do you go to the cinema ?,9,당신은 얼마나 자주 영화관에 갑니까?
"Yes , but she would like this a lot . She likes to collect little things like this .",9,"네, 하지만 그녀는 이것을 매우 좋아할 거예요. 그녀는 이런 작은 것들을 모으는 것을 좋아한다."
"You can get a burger , or some Chinese food . Or maybe you can get some Mexican food .",9,당신은 버거나 중국 음식을 살 수 있습니다. 혹은 멕시코 음식을 살 수도 있습니다.
"Absolutely . To be frank , I learned quite a lot about those animals and polar areas . I'm thinking of my kids there one of these days .",9,"그렇고 말고요. 솔직히 말해서, 나는 그 동물들과 극지방에 대해 꽤 많이 배웠어. 나는 언젠가 그곳에 있는 내 아이들을 생각하고 있다."
Here you are . How is Danny ?,9,여기 있습니다. 대니는 어때?
"Yes , it's beautiful , but it's also very hot .",9,"네, 아름답기도 하지만 매우 덥기도 해요."
"Believe me , he is the first-class .",9,"정말이지, 그는 일류야."
Then forgive her mistake .,9,그럼 그녀의 실수를 용서하세요.
What is the highest goal of your company ?,9,당신 회사의 가장 높은 목표는 무엇입니까?
Do I need to pay any extra charge for my suitcases ?,9,제 여행 가방에 추가 요금을 내야 하나요?
They are . I think I'm going to get a hat too .,9,맞아요. 저도 모자를 사야 할 것 같아요.
So when will it be here then ?,9,그럼 언제쯤 올까요?
"True . With the extension of railways and highways , and the improvement of safety and capacity of airplanes , ships and boats have been giving place to trains , planes and automobiles .",9,"맞아. 철도와 고속도로의 확장과 비행기의 안전과 능력의 향상으로, 배와 보트는 기차, 비행기, 그리고 자동차에 자리를 내주고 있어."
Wow ! That's interesting ! It must be tough !,9,와! 흥미롭군! 힘들겠다!
Maybe we did miss our stop .,9,우리가 정류장을 놓쳤나 봐요.
What do you mean ? I can't understand .,9,그게 무슨 말이죠? 이해할 수 없어요.
How many chances have I given you ? I don ’ t trust you any more .,9,내가 너에게 몇 번의 기회를 줬니? 나는 더 이상 너를 믿지 않아요.
Let me get this .,9,내가 이것을 할게.
"No , but I could take the bus .",9,"아니요, 하지만 버스를 탈 수 있어요."
"Sure , we call it doubt .",9,"물론, 우리는 그것을 의심이라고 부른다."
The problem is that I just have no one to turn to right now .,9,문제는 내가 지금 의지할 사람이 없다는 것이다.
it's a letter from Ray and Sue in Shanghai !,9,상하이에 있는 레이와 수가 보낸 편지야!
He is the guy I was telling you about .,9,그는 내가 너에게 말했던 그 사람이다.
