text,translated
"If you look around Kiki, couples who fight are good at making up. Kiki",키키 주변을 둘러보면 싸우는 커플들이 화장을 잘한다. 키키.
"Yeah, we're still dating","그래, 우린 아직 사귀는 중이야"
"Since it's our 100th day, I don't think we need to make it too burdensome",저희가 100일이니까 너무 부담스럽게 할 필요는 없을 것 같아요
What do you think about giving me a card?,당신은 나에게 카드를 주는 것에 대해 어떻게 생각하나요?
It's already time to go...,벌써 갈 시간이 됐어요...
GFRIEND can stay out all night,여자친구는 외박을 할 수 있다
I'm going to comfort you today.,나는 오늘 너를 위로해 줄 거야.
I like tall girls.,나는 키가 큰 여자가 좋다.
Then I'd appreciate it.,그럼 감사하겠습니다.
By chance.,우연히.
Really? Then I'll buy it,그래요? 그럼 제가 살게요
I also decided to have a home party with my friend's couple!,나도 친구 부부와 홈파티를 하기로 했어!
I got all the numbers from the package company haha,나는 패키지 회사에서 모든 번호를 받았어 하하
How can it be an anniversary every 14th of every month?,어떻게 매달 14일마다 기념일이 될 수 있죠?
Did you fart with your boyfriend?,남자친구랑 방귀 뀌었어요?
You're thinking about it.,당신은 그것에 대해 생각하고 있어요.
"Ah, LOL. That's right. Then you'll think that you're old enough to get married","아, 하하하. 맞아요. 그러면 당신은 결혼할 나이가 되었다고 생각할 것이다"
"Kiki, you're right. You have to disappear","키키, 네 말이 맞아. 넌 사라져야 해"
That's what everyone says. LOL,다들 그렇게 말해요. ㅋㅋㅋ
Do you have any thoughts of going on a blind date?,당신은 소개팅을 갈 생각이 있나요?
Wow... That would be a workout,와우.. 그거 운동이 되겠네요
Who do you play with?,당신은 누구와 함께 하나요?
I got goosebumps watching Kim Yu-na's video last night.,어젯밤 김연아의 비디오를 보고 소름이 돋았어요.
I'm just hitting it in sync. LOL,나는 그저 그것을 동시에 치는 것이다. ㅋㅋㅋ
"Thanks for the recommendation, but no yoga. Doing yoga alone isn't fun either.",추천은 고맙지만 요가는 안 돼요. 요가를 혼자 하는 것도 재미있지 않아요.
What sports don't cost money?,돈이 들지 않는 스포츠는 무엇인가요?
"Kiki's equipment is amazing, right?",키키의 장비는 정말 대단하죠?
Did you buy the sports bra you said you were going to buy?,당신이 사려고 했던 스포츠 브라를 샀나요?
"I'm going camping the week after next, so do you want to go there with me?",다음 주에 캠핑을 가는데 같이 가실래요?
Aren't you a fan of Kia?,당신은 기아의 팬이 아닌가요?
"First, build up your stamina and do it with people!","먼저, 체력을 기르고 사람들과 함께 하세요!"
