idx,Question_no,Set_no,idx1,idx2,idx3,idx4
0,Q1,1,493,241,1122,1541
1,Q2,1,1092,604,254,1447
2,Q3,1,126,930,316,1496
3,Q4,1,136,30,21,1456
4,Q5,1,454,307,876,1505
5,Q6,1,4,687,1164,1329
6,Q7,1,405,979,679,1239
7,Q8,1,24,880,129,1253
8,Q9,1,1125,660,306,1235
9,Q10,1,141,181,786,1268
10,Q11,1,1190,1169,968,1442
11,Q12,1,784,1052,467,1271
12,Q13,1,116,1119,741,1342
13,Q14,1,754,118,638,1453
14,Q15,1,353,1038,219,1409
15,Q16,1,873,471,380,1215
16,Q17,1,1120,281,676,1330
17,Q18,1,1061,23,517,1566
18,Q19,1,963,543,111,1274
19,Q20,1,760,957,624,1284
20,Q21,1,1009,1048,1058,1286
21,Q22,1,1138,623,555,1511
22,Q23,1,625,189,36,1494
23,Q24,1,44,329,511,1363
24,Q25,1,980,81,955,1561
25,Q26,1,943,921,499,1331
26,Q27,1,463,944,305,1219
27,Q28,1,270,188,35,1356
28,Q29,1,664,450,885,1598
29,Q30,1,1105,470,431,1290
30,Q31,1,750,929,719,1586
31,Q32,1,728,872,858,1223
32,Q33,1,767,325,586,1350
33,Q34,1,939,7,826,1280
34,Q35,1,814,355,514,1309
35,Q36,1,56,146,135,1370
36,Q37,1,122,1110,648,1213
37,Q38,1,1158,1002,320,1475
38,Q39,1,180,738,34,1525
39,Q40,1,1147,556,965,1416
40,Q41,1,904,714,57,1486
41,Q42,1,967,688,379,1552
42,Q43,1,134,810,421,1461
43,Q44,1,949,780,324,1204
44,Q45,1,456,640,486,1365
45,Q46,1,1155,1000,674,1523
46,Q47,1,598,109,778,1385
47,Q48,1,92,206,973,1273
48,Q49,1,20,462,1082,1517
49,Q50,1,1078,1107,564,1457
50,Q51,1,400,752,341,1482
51,Q52,1,1108,501,252,1270
52,Q53,1,1073,347,274,1368
53,Q54,1,908,243,371,1306
54,Q55,1,928,239,162,1255
55,Q56,1,10,1043,1168,1528
56,Q57,1,0,592,589,1488
57,Q58,1,609,1154,1023,1403
58,Q59,1,217,744,907,1483
59,Q60,1,811,830,476,1535
60,Q61,1,869,1160,549,1419
61,Q62,1,782,766,634,1346
62,Q63,1,260,1157,692,1450
63,Q64,1,857,562,619,1294
64,Q65,1,806,864,709,1344
65,Q66,1,915,946,912,1322
66,Q67,1,953,819,374,1543
67,Q68,1,793,984,27,1375
68,Q69,1,350,820,31,1293
69,Q70,1,360,441,170,1557
70,Q71,1,282,583,788,1260
71,Q72,1,849,466,182,1580
72,Q73,1,1069,839,389,1360
73,Q74,1,906,167,827,1230
74,Q75,1,1086,313,411,1521
75,Q76,1,854,668,47,1218
76,Q77,1,933,617,629,1597
77,Q78,1,695,851,887,1269
78,Q79,1,603,488,678,1433
79,Q80,1,860,947,436,1559
80,Q81,1,841,414,264,1214
81,Q82,1,982,419,253,1256
82,Q83,1,650,147,1193,1333
83,Q84,1,362,1003,430,1295
84,Q85,1,178,755,971,1302
85,Q86,1,318,685,1106,1550
86,Q87,1,114,302,836,1507
87,Q88,1,1103,164,163,1567
88,Q89,1,43,649,333,1595
89,Q90,1,834,485,359,1581
90,Q91,1,902,737,1115,1254
91,Q92,1,710,1170,697,1455
92,Q93,1,988,1050,150,1532
93,Q94,1,855,682,288,1415
