idx,Question_no,Set_no,Weak_checked,Strong_checked,Weakest,Strongest
0,Q1,1,0,0,9999,9999
1,Q2,1,0,0,9999,9999
2,Q3,1,0,0,9999,9999
3,Q4,1,0,0,9999,9999
4,Q5,1,0,0,9999,9999
5,Q6,1,0,0,9999,9999
6,Q7,1,0,0,9999,9999
7,Q8,1,0,0,9999,9999
8,Q9,1,0,0,9999,9999
9,Q10,1,0,0,9999,9999
10,Q11,1,0,0,9999,9999
11,Q12,1,0,0,9999,9999
12,Q13,1,0,0,9999,9999
13,Q14,1,0,0,9999,9999
14,Q15,1,0,0,9999,9999
15,Q16,1,0,0,9999,9999
16,Q17,1,0,0,9999,9999
17,Q18,1,0,0,9999,9999
18,Q19,1,0,0,9999,9999
19,Q20,1,0,0,9999,9999
20,Q21,1,0,0,9999,9999
21,Q22,1,0,0,9999,9999
22,Q23,1,0,0,9999,9999
23,Q24,1,0,0,9999,9999
24,Q25,1,0,0,9999,9999
25,Q26,1,0,0,9999,9999
26,Q27,1,0,0,9999,9999
27,Q28,1,0,0,9999,9999
28,Q29,1,0,0,9999,9999
29,Q30,1,0,0,9999,9999
30,Q31,1,0,0,9999,9999
31,Q32,1,0,0,9999,9999
32,Q33,1,0,0,9999,9999
33,Q34,1,0,0,9999,9999
34,Q35,1,0,0,9999,9999
35,Q36,1,0,0,9999,9999
36,Q37,1,0,0,9999,9999
37,Q38,1,0,0,9999,9999
38,Q39,1,0,0,9999,9999
39,Q40,1,0,0,9999,9999
40,Q41,1,0,0,9999,9999
41,Q42,1,0,0,9999,9999
42,Q43,1,0,0,9999,9999
43,Q44,1,0,0,9999,9999
44,Q45,1,0,0,9999,9999
45,Q46,1,0,0,9999,9999
46,Q47,1,0,0,9999,9999
47,Q48,1,0,0,9999,9999
48,Q49,1,0,0,9999,9999
49,Q50,1,0,0,9999,9999
50,Q51,1,0,0,9999,9999
51,Q52,1,0,0,9999,9999
52,Q53,1,0,0,9999,9999
53,Q54,1,0,0,9999,9999
54,Q55,1,0,0,9999,9999
55,Q56,1,0,0,9999,9999
56,Q57,1,0,0,9999,9999
57,Q58,1,0,0,9999,9999
58,Q59,1,0,0,9999,9999
59,Q60,1,0,0,9999,9999
60,Q61,1,0,0,9999,9999
61,Q62,1,0,0,9999,9999
62,Q63,1,0,0,9999,9999
63,Q64,1,0,0,9999,9999
64,Q65,1,0,0,9999,9999
65,Q66,1,0,0,9999,9999
66,Q67,1,0,0,9999,9999
