idx,Question_no,Set_no,idx1,idx2,idx3,idx4
0,Q1,1,980,968,63,1493
1,Q2,1,705,1030,727,1232
2,Q3,1,1151,686,761,1269
3,Q4,1,1014,148,1146,1422
4,Q5,1,1107,125,111,1497
5,Q6,1,251,583,46,1210
6,Q7,1,108,1133,847,1584
7,Q8,1,75,699,827,1385
8,Q9,1,606,1095,248,1435
9,Q10,1,1160,777,774,1551
10,Q11,1,1003,341,1119,1538
11,Q12,1,45,181,946,1407
12,Q13,1,209,488,86,1565
13,Q14,1,947,904,872,1236
14,Q15,1,354,370,79,1274
15,Q16,1,189,875,868,1563
16,Q17,1,579,182,1064,1346
17,Q18,1,7,1016,893,1577
18,Q19,1,624,1129,130,1560
19,Q20,1,798,1050,723,1573
20,Q21,1,250,598,639,1596
21,Q22,1,855,573,565,1261
22,Q23,1,283,473,1076,1481
23,Q24,1,344,509,678,1334
24,Q25,1,352,1153,1182,1442
25,Q26,1,1086,286,301,1304
26,Q27,1,508,951,319,1255
27,Q28,1,994,693,32,1314
28,Q29,1,67,1049,197,1247
29,Q30,1,281,886,1163,1219
30,Q31,1,515,636,325,1452
31,Q32,1,492,782,1011,1461
32,Q33,1,889,802,190,1492
33,Q34,1,832,898,528,1592
34,Q35,1,146,206,1044,1387
35,Q36,1,289,282,612,1483
36,Q37,1,954,375,1172,1558
37,Q38,1,974,363,1120,1221
38,Q39,1,440,630,958,1354
39,Q40,1,587,753,411,1336
40,Q41,1,534,645,897,1501
41,Q42,1,69,483,308,1500
42,Q43,1,1040,1196,1085,1201
43,Q44,1,1019,362,366,1583
44,Q45,1,632,805,369,1425
45,Q46,1,682,279,133,1271
46,Q47,1,1033,734,178,1576
47,Q48,1,1072,1066,992,1525
48,Q49,1,940,941,17,1401
49,Q50,1,845,877,548,1279
50,Q51,1,255,339,487,1595
51,Q52,1,1029,1145,871,1591
52,Q53,1,332,431,15,1463
53,Q54,1,83,151,1025,1427
54,Q55,1,368,219,725,1415
55,Q56,1,1148,427,833,1587
56,Q57,1,749,903,397,1537
57,Q58,1,410,999,145,1239
58,Q59,1,1087,378,105,1245
59,Q60,1,691,794,384,1220
60,Q61,1,840,372,652,1504
61,Q62,1,114,1131,78,1229
62,Q63,1,979,174,1054,1544
63,Q64,1,511,544,468,1359
64,Q65,1,52,166,997,1393
65,Q66,1,1179,73,662,1330
66,Q67,1,1167,1195,674,1487
67,Q68,1,402,715,383,1222
68,Q69,1,466,1067,490,1398
69,Q70,1,577,690,570,1391
70,Q71,1,558,272,119,1578
71,Q72,1,426,900,471,1474
72,Q73,1,134,948,475,1327
73,Q74,1,770,177,721,1571
74,Q75,1,361,474,865,1458
75,Q76,1,214,385,963,1567
76,Q77,1,2,330,582,1512
77,Q78,1,399,536,1177,1464
78,Q79,1,1075,568,101,1290
79,Q80,1,731,348,455,1312
80,Q81,1,23,1150,136,1533
81,Q82,1,1023,447,1022,1472
82,Q83,1,867,68,1171,1534
83,Q84,1,245,732,224,1204
84,Q85,1,567,780,1012,1484
85,Q86,1,123,758,610,1265
86,Q87,1,14,703,38,1566
87,Q88,1,504,768,1084,1408
88,Q89,1,816,234,391,1276
89,Q90,1,512,229,153,1495
90,Q91,1,529,1128,64,1545
91,Q92,1,193,789,960,1378
92,Q93,1,514,539,1073,1449
93,Q94,1,421,137,790,1515
94,Q95,1,927,56,860,1478
95,Q96,1,983,1101,924,1490
96,Q97,1,955,627,700,1240
97,Q98,1,659,392,863,1409
98,Q99,1,595,759,838,1581
99,Q100,1,1009,647,138,1509
100,Q101,1,938,280,1031,1561
101,Q102,1,205,298,823,1575
102,Q103,1,257,883,152,1514
103,Q104,1,1134,93,829,1288
104,Q105,1,24,526,414,1268
105,Q106,1,905,991,337,1476
106,Q107,1,1115,110,530,1238
107,Q108,1,787,843,266,1388
108,Q109,1,80,1152,791,1440
109,Q110,1,157,310,685,1273
110,Q111,1,831,393,61,1580
111,Q112,1,923,888,916,1331
112,Q113,1,588,131,788,1301
113,Q114,1,580,1100,215,1434
